Name,Priority,ASCII,Unicode,Unicode IDs
def_eq,1,==,≜,U+225C
set_in,1,\in,∈,U+2208
gets,1,<-,⟵,U+27F5
forall,1,\A,∀,U+2200
forall,2,\forall,∀,U+2200
exists,1,\E,∃,U+2203
exists,1,\exists,∃,U+2203
all_map_to,1,|->,⟼,U+27FC
maps_to,1,->,⟶,U+27F6
langle_bracket,1,<<,〈,U+3008
rangle_bracket,1,>>,〉,U+3009
rangle_bracket_sub,1,>>_,〉_,U+3009;U+005F
case_box,1,[],□,U+25A1
case_arrow,1,->,⟶,U+27F6
label_as,1,::,∷,U+2237
bullet_conj,1,/\,∧,U+2227
bullet_disj,1,\/,∨,U+2228
lnot,1,~,¬,U+00AC
lnot,2,\lnot,¬,U+00AC
lnot,3,\neg,¬,U+00AC
always,1,[],□,U+25A1
eventually,1,<>,⋄,U+22C4
implies,1,=>,⟹,U+27F9
plus_arrow,1,-+->,⇸,U+21F8
equiv,1,\equiv,≡,U+2261
iff,1,<=>,⟺,U+27FA
leads_to,1,~>,⇝,U+21DD
land,1,/\,∧,U+2227
land,2,\land,∧,U+2227
lor,1,\/,∨,U+2228
lor,2,\lor,∨,U+2228
assign,1,:=,≔,U+2254
bnf_rule,1,::=,⩴,U+2A74
neq,1,/=,≠,U+2260
neq,2,#,≠,U+2260
leq,1,<=,≤,U+2264
leq,2,=<,≤,U+2264
leq,3,\leq,≤,U+2264
geq,1,>=,≥,U+2265
geq,2,\geq,≥,U+2265
approx,1,\approx,≈,U+2248
rs_ttile,1,|-,⊢,U+22A2
rd_ttile,1,|=,⊨,U+22A8
ls_ttile,1,-|,⊣,U+22A3
ld_ttile,1,=|,⫤,U+2AE4
asymp,1,\asymp,≍,U+224D
cong,1,\cong,≅,U+2245
doteq,1,\doteq,≐,U+2250
gg,1,\gg,≫,U+226B
ll,1,\ll,≪,U+226A
in,1,\in,∈,U+2208
notin,1,\notin,∉,U+2209
prec,1,\prev,≺,U+227A
succ,1,\succ,≻,U+227B
preceq,1,\preceq,⪯,U+2AAF
succeq,1,\succeq,⪰,U+2AB0
propto,1,\propto,∝,U+221D
sim,1,\sim,∼,U+223C
simeq,1,\simeq,≃,U+2243
sqsubset,1,\sqsubset,⊏,U+228F
sqsupset,1,\sqsupset,⊐,U+2290
sqsubseteq,1,\sqsubseteq,⊑,U+2291
sqsupseteq,1,\sqsupseteq,⊒,U+2292
subset,1,\subset,⊂,U+2282
supset,1,\supset,⊃,U+2283
subseteq,1,\subseteq,⊆,U+2286
supseteq,1,\supseteq,⊇,U+2287
cap,1,\cap,∩,U+2229
cap,2,\intersect,∩,U+2229
cup,1,\cup,∪,U+222A
cup,2,\union,∪,U+222A
dots_2,1,..,‥,U+2025
dots_3,1,...,…,U+2026
oplus,1,(+),⊕,U+2295
oplus,2,\oplus,⊕,U+2295
ominus,1,(-),⊖,U+2296
ominus,2,\ominus,⊖,U+2296
vertvert,1,||,‖,U+2016
odot,1,(.),⊙,U+2299
odot,2,\odot,⊙,U+2299
oslash,1,(/),⊘,U+2298
oslash,2,\oslash,⊘,U+2298
otimes,1,(\X),⊗,U+2297
otimes,2,\otimes,⊗,U+2297
bigcirc,1,\bigcirc,◯,U+25EF
bullet,1,\bullet,●,U+25CF
div,1,\div,÷,U+00F7
circ,1,\o,∘,U+221
circ,2,\circ,∘,U+221
star,1,\star,⋆,U+22C6
excl,1,!!,‼,U+203C
qq,1,??,⁇,U+2047
sqcap,1,\sqcap,⊓,U+2293
sqcup,1,\sqcup,⊔,U+2294
uplus,1,\uplus,⊎,U+228E
times,1,\X,×,U+00D7
times,1,\times,×,U+00D7
wr,1,\wr,≀,U+2240
cdot,1,\cdot,⋅,U+22C5
sup_plus,1,^+,⁺,U+207A
